編號,name,別稱,標高M,三角點,緯度N,經度E,圖名,圖號,山脈,轄區,轄區,區域,備註,latitude,longitude
66,大南山,塔浪山,3239,森林,266274,2695332,梨山,9621-4.SE,雪山山脈,台中和平,苗栗泰安,,,24.362009859,121.16857542
67,大南山北峰,,3148,,266856,2696080,梨山,9621-4.SE,雪山山脈,台中和平,苗栗泰安,,,24.368757118,121.174321164
68,弓水山,咁木哇浪山,3374,,265108,2695076,梨山,9621-4.SE,雪山山脈,台中和平,苗栗泰安,,,24.359710755,121.15707987
69,頭鷹山,,3510,三等6612,263448.444,2695062.723,梨山,9621-4.SE,雪山山脈,台中和平,苗栗泰安,,,24.359606939,121.140722582
70,頭鷹山北峰,,3195,,262834,2696666,梨山,9621-4.SE,頭鷹山支脈,苗栗泰安,,,,24.374088566,121.134681739
71,奇峻山,,3519,,263135,2694512,梨山,9621-4.SE,雪山山脈,台中和平,苗栗泰安,,,24.354637243,121.137627794
72,釜碗山西峰,,3417,森林,263992,2693133,梨山,9621-4.SE,雪山山脈,台中和平,,,,24.342178207,121.14606006
73,釜碗山,,3000,三等6609,265775,2692059,梨山,9621-4.SE,雪山山脈,台中和平,2999M,,,24.332463008,121.163619037
74,大雪山北峰,,3437,,261853,2693118,小雪山,9621-4.SW,雪山山脈,台中和平,,,,24.342061601,121.124980098
75,大雪山,復興山,3530,二等1545,261468.676,2691864.928,小雪山,9621-4.SW,雪山山脈,台中和平,苗栗泰安,,,24.330750526,121.121181826
76,匹匹達山,,3425,,260864,2691651,小雪山,9621-4.SW,雪山山脈,台中和平,苗栗泰安,,,24.328823582,121.115221533
77,可汗山,湖畔山,3027,,258673,2690604,小雪山,9621-4.SW,雪山山脈,台中和平,苗栗泰安,,,24.319384916,121.093624539
78,知馬漢山北峰,,3085,,257935,2690406,小雪山,9621-4.SW,雪山山脈,台中和平,苗栗泰安,,,24.317601453,121.086351633
79,志摩山,,3145,,257432,2691123,小雪山,9621-4.SW,雪山山脈,台中和平,苗栗泰安,,,24.324078097,121.081399654
80,中雪山,,3173,三等6611,257092.222,2692495.892,小雪山,9621-4.SW,雪山山脈,苗栗泰安,苗栗泰安,,,24.336475899,121.078059208
81,南湖大山,,3742,一等,293746.759,2695369.487,南湖大山,9621-1.SE,中央山脈主脊,台中和平,花蓮秀林,,,24.36180545,121.439358777
